genome_id	genome_group_id	subgroup
B1A	muri	here
B1B	muri	here
B2	muri	here
B3	muri	here
B4	muri	here
B5	muri	here
B6	muri	here
B7	muri	here
B8	muri	here
GP1	muri	ormerod-plant
GP2	muri	ormerod-host
GP3	muri	ormerod-plant
GP4	muri	ormerod-plant
H1	muri	ormerod-starch
H10	muri	ormerod-starch
H2	muri	ormerod-starch
H3	muri	ormerod-starch
H4	muri	ormerod-starch
H5	muri	ormerod-plant
H6	muri	ormerod-host
H7	muri	ormerod-plant
H8	muri	ormerod-starch
H9	muri	ormerod-starch
Homeothermus_arabinoxylanisolvens	muri	ormerod-plant
K1	muri	ormerod-plant
K10	muri	ormerod-starch
M1	muri	ormerod-plant
M10	muri	ormerod-starch
M11	muri	ormerod-starch
M12	muri	ormerod-plant
M13	muri	ormerod-plant
M14	muri	ormerod-host
M2	muri	ormerod-plant
M3	muri	ormerod-starch
M5	muri	ormerod-host
M6	muri	ormerod-starch
M7	muri	ormerod-starch
M8	muri	ormerod-plant
M9	muri	ormerod-host
Bacteroides_ovatus_ATCC_8483	muri	outgroup
Bacteroides_thetaiotaomicron_VPI5482	muri	outgroup
Barnesiella_intestinihominis_YIT_11860	muri	outgroup
Barnesiella_viscericola_DSM_18177	muri	outgroup
Porphyromonas_gingivalis_ATCC_33277	muri	outgroup
Amulumruptor_caecigallinarius	muri	public
Duncaniella_dubosii_DSM_107170T	muri	public
Duncaniella_freteri_DSM_108168T	muri	public
Duncaniella_muris_DSM_103720T	muri	public
Muribaculum_intestinale_DSM_28989T	muri	public
Paramuribaculum_intestinale_DSM_100749T	muri	public
B1A	muri2	here
B1B	muri2	here
B2	muri2	here
B3	muri2	here
B4	muri2	here
B5	muri2	here
B6	muri2	here
B7	muri2	here
B8	muri2	here
GP1	muri2	ormerod-plant
GP2	muri2	ormerod-host
GP3	muri2	ormerod-plant
GP4	muri2	ormerod-plant
H1	muri2	ormerod-starch
H10	muri2	ormerod-starch
H2	muri2	ormerod-starch
H3	muri2	ormerod-starch
H4	muri2	ormerod-starch
H5	muri2	ormerod-plant
H6	muri2	ormerod-host
H7	muri2	ormerod-plant
H8	muri2	ormerod-starch
H9	muri2	ormerod-starch
Homeothermus_arabinoxylanisolvens	muri2	ormerod-plant
K1	muri2	ormerod-plant
K10	muri2	ormerod-starch
M1	muri2	ormerod-plant
M10	muri2	ormerod-starch
M11	muri2	ormerod-starch
M12	muri2	ormerod-plant
M13	muri2	ormerod-plant
M14	muri2	ormerod-host
M2	muri2	ormerod-plant
M3	muri2	ormerod-starch
M5	muri2	ormerod-host
M6	muri2	ormerod-starch
M7	muri2	ormerod-starch
M8	muri2	ormerod-plant
M9	muri2	ormerod-host
Bacteroides_thetaiotaomicron_VPI5482	muri2	outgroup
GCA_011958005	muri2	public
GCA_011958445	muri2	public
GCA_011959405	muri2	public
GCA_011959565	muri2	public
GCA_011960395	muri2	public
GCA_011960975	muri2	public
GCA_013316255	muri2	public
GCA_013316365	muri2	public
GCA_013316445	muri2	public
GCA_013316455	muri2	public
GCA_013316535	muri2	public
GCA_013316545	muri2	public
GCA_013316595	muri2	public
GCA_013316675	muri2	public
GCA_013316695	muri2	public
GCA_013316705	muri2	public
GCA_013316715	muri2	public
GCA_013316725	muri2	public
GCA_013316775	muri2	public
GCA_013316795	muri2	public
GCA_013316815	muri2	public
GCA_013316855	muri2	public
GCA_013316875	muri2	public
GCA_013316895	muri2	public
GCA_013316975	muri2	public
GCA_013317015	muri2	public
GCA_013317025	muri2	public
GCA_001688845	muri2	public
Muribaculum_intestinale_DSM_28989T	muri2	public
