mag_id	mag_class	family	guild
An287	public	unknown	
An289	public	unknown	
Bacteroides_ovatus_ATCC_8483	reference	Bacteroidaceae	
Bacteroides_thetaiotaomicron_VPI5482	reference	Bacteroidaceae	
Barnesiella_viscericola_DSM_18177	reference	Barnesiellaceae	
GP1	ormerod	Muribaculaceae	plant
GP2	ormerod	Muribaculaceae	host
GP3	ormerod	Muribaculaceae	plant
GP4	ormerod	Muribaculaceae	plant
H1	ormerod	Muribaculaceae	starch
H10	ormerod	Muribaculaceae	starch
H2	ormerod	Muribaculaceae	starch
H3	ormerod	Muribaculaceae	starch
H4	ormerod	Muribaculaceae	starch
H5	ormerod	Muribaculaceae	plant
H6	ormerod	Muribaculaceae	host
H7	ormerod	Muribaculaceae	plant
H8	ormerod	Muribaculaceae	starch
H9	ormerod	Muribaculaceae	starch
Homeothermus_arabinoxylanisolvens	ormerod	Muribaculaceae	plant
K1	ormerod	Muribaculaceae	plant
K10	ormerod	Muribaculaceae	starch
M1	ormerod	Muribaculaceae	plant
M10	ormerod	Muribaculaceae	starch
M11	ormerod	Muribaculaceae	starch
M12	ormerod	Muribaculaceae	plant
M13	ormerod	Muribaculaceae	plant
M14	ormerod	Muribaculaceae	host
M2	ormerod	Muribaculaceae	plant
M3	ormerod	Muribaculaceae	starch
M5	ormerod	Muribaculaceae	host
M6	ormerod	Muribaculaceae	starch
M7	ormerod	Muribaculaceae	starch
M8	ormerod	Muribaculaceae	plant
M9	ormerod	Muribaculaceae	host
Muribaculaceae_bacterium_DSM_100720	public	Muribaculaceae	
Muribaculaceae_bacterium_DSM_100739	public	Muribaculaceae	
Muribaculaceae_bacterium_DSM_100746	public	Muribaculaceae	
Muribaculaceae_bacterium_DSM_100749	public	Muribaculaceae	
Muribaculaceae_bacterium_DSM_100764	public	Muribaculaceae	
Muribaculum_intestinale_yl27	reference	Muribaculaceae	
Otu0001_vB	here	Muribaculaceae	
Otu0001_vC	here	Muribaculaceae	
Otu0004_vA	here	Muribaculaceae	
Otu0005_vA	here	Muribaculaceae	
Otu0007_vA	here	Muribaculaceae	
Otu0009_vA	here	Muribaculaceae	
Otu0017_vA	here	Muribaculaceae	
Otu0049_vA	here	Muribaculaceae	
Porphyromonas_gingivalis_ATCC_33277	reference	Porphyromonadaceae	
Zag1	public	Muribaculaceae	
Zag10	public	Muribaculaceae	
