genome_id	genome_type	taxon_family	genbank_accession	assembly_name	comment
B1A	mag	Muribaculaceae			Otu0001 refined manually from samples at both UM and UT.
B1B	mag	Muribaculaceae			Otu0001 refined manually from only UT samples.
B2	mag	Muribaculaceae			"Otu0007 when considering all ITP/Glenn mice, but OTU-4 in Smith2019. TODO: Check this."
B3	mag	Muribaculaceae			Otu0009
B4	mag	Muribaculaceae			Otu0005
B5	mag	Muribaculaceae			Otu0004
B6	mag	Muribaculaceae			Otu0049
B7	mag	Muribaculaceae			Otu0017
B8	mag	Muribaculaceae			Otu0013
GP1	mag	Muribaculaceae	GCA_001701105.1	ASM170110v1	
GP2	mag	Muribaculaceae	GCA_001701115.1	ASM170111v1	
GP3	mag	Muribaculaceae	GCA_001701075.1	ASM170107v1	
GP4	mag	Muribaculaceae	GCA_001701065.1	ASM170106v1	
H1	mag	Muribaculaceae	GCA_001701175.1	ASM170117v1	
H10	mag	Muribaculaceae	GCA_001701295.1	ASM170129v1	
H2	mag	Muribaculaceae	GCA_001701255.1	ASM170125v1	
H3	mag	Muribaculaceae	GCA_001701135.1	ASM170113v1	
H4	mag	Muribaculaceae	GCA_001701165.1	ASM170116v1	
H5	mag	Muribaculaceae	GCA_001701225.1	ASM170122v1	
H6	mag	Muribaculaceae	GCA_001701285.1	ASM170128v1	
H7	mag	Muribaculaceae	GCA_001701195.1	ASM170119v1	
H8	mag	Muribaculaceae	GCA_001701305.1	ASM170130v1	
H9	mag	Muribaculaceae	GCA_001701235.1	ASM170123v1	
K1	mag	Muribaculaceae	GCA_001689645.1	ASM168964v1	
K10	mag	Muribaculaceae	GCA_001689655.1	ASM168965v1	
M1	mag	Muribaculaceae	GCA_001689425.1	ASM168942v1	
M10	mag	Muribaculaceae	GCA_001689685.1	ASM168968v1	
M11	mag	Muribaculaceae	GCA_001689665.1	ASM168966v1	
M12	mag	Muribaculaceae	GCA_001689575.1	ASM168957v1	
M13	mag	Muribaculaceae	GCA_001689585.1	ASM168958v1	
M14	mag	Muribaculaceae	GCA_001689615.1	ASM168961v1	
M2	mag	Muribaculaceae	GCA_001689415.1	ASM168941v1	
M3	mag	Muribaculaceae	GCA_001689445.1	ASM168944v1	
M5	mag	Muribaculaceae	GCA_001689535.1	ASM168953v1	
M6	mag	Muribaculaceae	GCA_001689485.1	ASM168948v1	
M7	mag	Muribaculaceae	GCA_001689515.1	ASM168951v1	
M8	mag	Muribaculaceae	GCA_001689495.1	ASM168949v1	
M9	mag	Muribaculaceae	GCA_001689565.1	ASM168956v1	
Bacteroides_thetaiotaomicron_VPI5482	isolate	Bacteroidaceae	GCA_900624795.1	81H8	
GCA_011958005	isolate	Muribaculaceae	GCA_011958005.1	ASM1195800v1	Muribaculaceae bacterium (CFB group bacteria) IMSAG_025
GCA_011958445	isolate	Muribaculaceae	GCA_011958445.1	ASM1195844v1	Muribaculaceae bacterium (CFB group bacteria) IMSAG_192
GCA_011959405	isolate	Muribaculaceae	GCA_011959405.1	ASM1195940v1	Muribaculaceae bacterium (CFB group bacteria) IMSAGC_006
GCA_011959565	isolate	Muribaculaceae	GCA_011959565.1	ASM1195956v1	Muribaculaceae bacterium (CFB group bacteria) IMSAGC_008
GCA_011960395	isolate	Muribaculaceae	GCA_011960395.1	ASM1196039v1	Muribaculaceae bacterium (CFB group bacteria) IMSAGC_016
GCA_011960975	isolate	Muribaculaceae	GCA_011960975.1	ASM1196097v1	Muribaculaceae bacterium (CFB group bacteria) IMSAGC_027
GCA_013316255	isolate	Muribaculaceae	GCA_013316255.1	ASM1331625v1	Muribaculaceae bacterium (CFB group bacteria) RACS_040
GCA_013316365	isolate	Muribaculaceae	GCA_013316365.1	ASM1331636v1	Muribaculaceae bacterium (CFB group bacteria) RACS_036
GCA_013316445	isolate	Muribaculaceae	GCA_013316445.1	ASM1331644v1	Muribaculaceae bacterium (CFB group bacteria) RACS_031
GCA_013316455	isolate	Muribaculaceae	GCA_013316455.1	ASM1331645v1	Muribaculaceae bacterium (CFB group bacteria) RACS_030
GCA_013316535	isolate	Muribaculaceae	GCA_013316535.1	ASM1331653v1	Muribaculaceae bacterium (CFB group bacteria) RACS_025
GCA_013316545	isolate	Muribaculaceae	GCA_013316545.1	ASM1331654v1	Muribaculaceae bacterium (CFB group bacteria) RACS_022
GCA_013316595	isolate	Muribaculaceae	GCA_013316595.1	ASM1331659v1	Muribaculaceae bacterium (CFB group bacteria) RACS_024
GCA_013316675	isolate	Muribaculaceae	GCA_013316675.1	ASM1331667v1	Muribaculaceae bacterium (CFB group bacteria) RACS_019
GCA_013316695	isolate	Muribaculaceae	GCA_013316695.1	ASM1331669v1	Muribaculaceae bacterium (CFB group bacteria) RACS_016
