feature_id	feature_start	feature_stop	susC	susD	susEF	starch_active_domain	localization	coverage_ratio	opf_id	ko_list	architecture	product_description	cazy_domain_list
B1A_00001	40	456					CY	0.743806938300489	Opf01135	K01689	Enolase_C	Enolase	
B1A_00002	1554	103					CY	4.07025411631643	Opf07120		DUF2542:DDE_5:DDE_Tnp_1	IS4 family transposase ISUnCu6	
B1A_00003	1688	1921					CY	0.0206959752765901			Pro_racemase	hypothetical protein	
B1A_00004	1983	2429					CY	0.00268941950286236	Opf01659		DUF4131:bPH_4	hypothetical protein	
B1A_00005	2482	2835					CY	0.0172150945167442	Opf02635		HTH_31	hypothetical protein	
B1A_00006	2844	4190					CY	0.0121903005637908	Opf02570	K07154	Couple_hipA:HipA_C	hypothetical protein	
B1A_00007	4311	5345				GH13_40	CY	2.0527238252761	Opf01885		Penicillinase_R:Fic	hypothetical protein	GH13_40
B1A_00008	5418	6962					CY	1.9665920115463	Opf02366		DUF1186	hypothetical protein	
B1A_00009	7222	7449					CY	1.71810581364821	Opf02618		Phage_integrase	Tyrosine recombinase XerC	
B1A_00010	7787	7557					CY	3.24582949517962	Opf02629		DDE_Tnp_1_3:DUF4305	hypothetical protein	
B1A_00011	948	283					CY	0.778085524991033	Opf02041	K18234	Hexapep:Hexapep:Hexapep	Virginiamycin A acetyltransferase	
B1A_00012	1811	1011					CY	0.00344818400379393			UDG	hypothetical protein	
B1A_00013	2093	1911					CY	0.00461092529535979	Opf04402		HTH_3	hypothetical protein	
B1A_00014	2664	2119					CY	0.00483220541480167	Opf04572		Fic	hypothetical protein	
B1A_00015	2976	2713					CY	0.00342760818464453	Opf12034		HTH_17	hypothetical protein	
B1A_00016	3329	3075					CY	0.00258156832694855		K01476		hypothetical protein	
B1A_00017	4289	3372					CY	0.376022918747837	Opf01832	K06950	Nudix_N_2:HD	hypothetical protein	
B1A_00018	5499	4333					CY	0.314512354235322	Opf03163	K06921	ATPase_2:DUF234:DUF234	hypothetical protein	
B1A_00019	49	2319					CY	0.739288343030642	Opf04996		Glug:Glug:Glug:Glug:Glug:Glug:Glug:Glug:Glug:Glug:Glug	hypothetical protein	
B1A_00020	2458	4659					PP	0.846018701582712	Opf04304	K09607	Peptidase_M6:Peptidase_M6	hypothetical protein	
B1A_00021	4841	11014					CY	0.881812048706657	Opf04991			hypothetical protein	
B1A_00022	1321	197					CY	0.970645479651065	Opf00324	K04096	DNA_processg_A	hypothetical protein	
B1A_00023	1747	1328					CY	0.89415240346817	Opf00686	K07107	4HBT	hypothetical protein	
B1A_00024	2552	1956					CY	0.878828497437538	Opf08275		FA_desaturase:Caveolin	hypothetical protein	
B1A_00025	3657	2497					PP	0.983716978343655	Opf01131		AAT	hypothetical protein	
B1A_00026	6332	3654				GH77	CY	0.991368498545177	Opf00307	K00705	CBM_20:CBM_20:Glyco_hydro_77	hypothetical protein	CBM20,CBM20,GH77
B1A_00027	8894	6366					CY	1.00859609996549	Opf00740	K00525	Ribonuc_red_lgN:Ribonuc_red_lgC:zf-RRN7	hypothetical protein	
B1A_00028	1495	83					CY	0.878297064131324	Opf01549	K01812	UxaC	Uronate isomerase	
B1A_00029	1814	3013					CY	1.12865849152522	Opf01129	K08223	MFS_1	Fosmidomycin resistance protein	
B1A_00030	3227	3006					CY	1.54296390142156	Opf11706			hypothetical protein	
B1A_00031	45	467					CY	2.46790751775265	Opf02230		bPH_4	hypothetical protein	
B1A_00032	605	1006					CY	3.16392739698186	Opf02445		DUF4131:DUF4131	hypothetical protein	
B1A_00033	122	625					CY	0.00437237266517593			PH_12	hypothetical protein	
B1A_00034	915	1856					CY	0.0104126079399625	Opf04877	K03655	AlbA_2	hypothetical protein	
B1A_00035	1969	2088					CY	0.00302258117594392	Opf11155		HTH_11	hypothetical protein	
B1A_00036	3246	3500					CY	0.00930441242987314			DUF4595	hypothetical protein	
B1A_00037	3663	5450					CY	1.05568098513526	Opf00663		GTP_EFTU:GTP_EFTU_D2:EFG_II:EFG_C:LepA_C	Elongation factor 4	
